employment_matrix,education_needed
"  Credit authorizers, checkers, and clerks",High school diploma or equivalent
  Customer service representatives,High school diploma or equivalent
"  Eligibility interviewers, government programs",High school diploma or equivalent
  File clerks,High school diploma or equivalent
"  Hotel, motel, and resort desk clerks",High school diploma or equivalent
"  Interviewers, except eligibility and loan",High school diploma or equivalent
"  Library assistants, clerical",High school diploma or equivalent
  Loan interviewers and clerks,High school diploma or equivalent
  New accounts clerks,High school diploma or equivalent
  Order clerks,"Some college, no degree"
"  Human resources assistants, except payroll and timekeeping",Associate's degree
  Receptionists and information clerks,High school diploma or equivalent
  Reservation and transportation ticket agents and travel clerks,High school diploma or equivalent
"  Information and record clerks, all other[2]",High school diploma or equivalent
  Cargo and freight agents,High school diploma or equivalent
  Couriers and messengers,High school diploma or equivalent
  Public safety telecommunicators,High school diploma or equivalent
"  Dispatchers, except police, fire, and ambulance",High school diploma or equivalent
"  Meter readers, utilities",High school diploma or equivalent
  Postal service clerks,No formal educational credential
  Postal service mail carriers,No formal educational credential
"  Postal service mail sorters, processors, and processing machine operators",No formal educational credential
"  Production, planning, and expediting clerks",High school diploma or equivalent
"  Shipping, receiving, and inventory clerks",High school diploma or equivalent
"  Weighers, measurers, checkers, and samplers, recordkeeping",High school diploma or equivalent
  Executive secretaries and executive administrative assistants,High school diploma or equivalent
  Legal secretaries and administrative assistants,High school diploma or equivalent
  Medical secretaries and administrative assistants,High school diploma or equivalent
"  Secretaries and administrative assistants, except legal, medical, and executive",High school diploma or equivalent
  Data entry keyers,High school diploma or equivalent
  Word processors and typists,High school diploma or equivalent
  Desktop publishers,Associate's degree
  Insurance claims and policy processing clerks,High school diploma or equivalent
"  Mail clerks and mail machine operators, except postal service",High school diploma or equivalent
"  Office clerks, general",High school diploma or equivalent
"  Office machine operators, except computer",High school diploma or equivalent
  Proofreaders and copy markers,Bachelor's degree
  Statistical assistants,Bachelor's degree
"  Office and administrative support workers, all other[2]",High school diploma or equivalent
"  First-line supervisors of farming, fishing, and forestry workers",High school diploma or equivalent
  Agricultural inspectors,Bachelor's degree
  Animal breeders,High school diploma or equivalent
"  Graders and sorters, agricultural products",No formal educational credential
  Agricultural equipment operators,No formal educational credential
"  Farmworkers and laborers, crop, nursery, and greenhouse",No formal educational credential
"  Farmworkers, farm, ranch, and aquacultural animals",No formal educational credential
"  Agricultural workers, all other[2]",No formal educational credential
  Fishing and hunting workers,No formal educational credential
  Forest and conservation workers,High school diploma or equivalent
  Fallers,High school diploma or equivalent
  Logging equipment operators,High school diploma or equivalent
  Log graders and scalers,High school diploma or equivalent
"  Logging workers, all other[2]",High school diploma or equivalent
  First-line supervisors of construction trades and extraction workers,High school diploma or equivalent
  Boilermakers,High school diploma or equivalent
  Brickmasons and blockmasons,High school diploma or equivalent
  Stonemasons,High school diploma or equivalent
  Carpenters,High school diploma or equivalent
  Carpet installers,No formal educational credential
"  Floor layers, except carpet, wood, and hard tiles",No formal educational credential
  Floor sanders and finishers,No formal educational credential
  Tile and stone setters,No formal educational credential
  Cement masons and concrete finishers,No formal educational credential
  Terrazzo workers and finishers,High school diploma or equivalent
  Construction laborers,No formal educational credential
"  Paving, surfacing, and tamping equipment operators",High school diploma or equivalent
  Pile driver operators,High school diploma or equivalent
  Operating engineers and other construction equipment operators,High school diploma or equivalent
  Drywall and ceiling tile installers,No formal educational credential
  Tapers,No formal educational credential
  Electricians,High school diploma or equivalent
  Glaziers,High school diploma or equivalent
"  Insulation workers, floor, ceiling, and wall",No formal educational credential
"  Insulation workers, mechanical",High school diploma or equivalent
"  Painters, construction and maintenance",No formal educational credential
  Paperhangers,No formal educational credential
  Pipelayers,No formal educational credential
"  Plumbers, pipefitters, and steamfitters",High school diploma or equivalent
  Plasterers and stucco masons,No formal educational credential
  Reinforcing iron and rebar workers,High school diploma or equivalent
  Roofers,No formal educational credential
